x,n
0.146951653399405,777.0
0.4838774987555825,778.0
0.9639966507209876,779.0
0.13396943734206448,780.0
0.44784348099321647,781.0
0.9544996324468668,782.0
0.16764012464785927,783.0
0.5386124851678106,784.0
0.9592450333181791,785.0
0.15090283757817635,786.0
0.4945863207896592,787.0
0.9648868714187929,788.0
0.13077755958024426,789.0
0.4387846874332525,790.0
0.9505353660583918,791.0
0.18148903197223515,792.0
0.5734059461296225,793.0
0.9442006489010657,794.0
0.20336712437126653,795.0
0.6253544971914414,796.0
0.9043449251307802,797.0
0.33391000067099713,798.0
0.8585184727943623,799.0
0.46885298800766456,800.0
0.9612552736656442,801.0
0.14376018991033815,802.0
0.4751397431501072,803.0
0.9626143950493194,804.0
0.13891337696356748,805.0
0.46171949956360075,806.0
0.9593435686852679,807.0
0.1505534556028826,808.0
0.493644254670406,809.0
0.9648440733750385,810.0
0.13093115154967294,811.0
0.43922239449970113,812.0
